,Film,Song,Raga
543,Papa Kehte Hain.,Pyar Mein Hota Hai Kya Jadoo,yaman
544,(non-film song),"Ranjish Hi Sahi, Dil Hi Dukhane Ke Liye Aa",yaman
545,Lal Patthar,Re Man Sur Mein Ga,yaman
546,Angoor,Roz Roz Dali Dali Kya Likh Jaye,yaman
547,Babar,Salam-e-Hasrat Kabool,yaman
548,Chitralekha,Sansar Se Bhage Phirte Ho,yaman
549,Tansen,Sapt Suran Teen Gram,yaman
550,Saaranga,Saranga Teri Yaad Men,yaman
551,Ek Baar Muskuraa Do,Savere Ka Suraj Tumhare Liye Hai,yaman
552,(non-film song),Shola Hun Bhadakne Ki Gujarish Nahin Karta,yaman
553,Non-film song,Shree Ram-Chandra Kripalu Bhajamana,yaman
554,Tarana,Sine Men Sulaghate Hai Arman,yaman
555,Deewana,Sochenge Tumhe Pyaar Kare Ke Nahin,yaman
556,(Non film) Album = Mast Nazren,Sochte Aur Jaagte Sansonka Ek Dariyaa Hun Mein,yaman
557,Satyam Shivam Sundaram ,Suni Jo Unke Aane Ki Aahat,yaman
558,Shokhiyaan,Supna Bana Sajana Aye,yaman
559,Aapas Ki Baat,Tera Chehra,yaman
560,Leader,Tere Husn Ki Kya Taarif Karun,yaman
561,Dil Hi To Hai,Tum Agar Mujhko,yaman
562,Anita,Tum Bin Jivan Kaise Bita,yaman
563,Sathi Savitri,Tum Gagan Ke Chandrama Ho,yaman
564,Kuch Naa Kaho,Tumhein Aaj Maine Dekha,yaman
565,Baharen Phir Bhi Aayegi,Woh Has Ke Mile Humse,yaman
566,Parasmani,"Woh Jab Yaad Aye, Bahut Yaad Aye",yaman
567,Khamoshi,Woh Sham Kuchh Ajib Thi,yaman
568,Umar Qaid,"Yaad Rahega, Pyarka Yeh Rangin Zamanaa Yaad Rahega",yaman
569,Ab Dilli Door Nahin,Ye Chaman Hamra Apna Hai,yaman
570,Lajawab,Zamaane Ka Dastur Hai Ye Purana,yaman
571,Haqeeqat,Zara Si Ahat Hoti Hai...Kahin Yeh Woh To Nahin,yaman
572,Barsaat Ki Raat ,Zindagi Bhar Nahin Bhulegi Vo Barsaat Ki Raat,yaman
573,Maaya,"Jaa Re, Jaa Re Ud Jaa Re Panchhi",bhairavi
574,Kohinoor,Jaadugar Katil,bhairavi
575,Shah Jahan,Jab Dil Hi Tut Gaya,bhairavi
576,Tere Mere Sapne,Jaise Radha Ne Mala Japi Shyam,bhairavi
577,Beimaan,Jay Bolo Beiman Ki,bhairavi
578,Shola Aur Shabnam,Jeet Hi Lenge,bhairavi
579,Mera Naam Joker,Jina Yahan Marna Yahan,bhairavi
580,Saheli,Jis Dil Me Basa Tha Pyaar Tera,bhairavi
581,(non-film song),Jo Bhaje Hari Ko Sada,bhairavi
582,Jhanak Jhanak Paayal Baje,Jo Tum Todo Piya,bhairavi
583,Sant Gyaneshwar,Jyot Se Jyot Jagate Chalo,bhairavi
584,Alor Pipasa,Na Bajayi Ho Shyam,bhairavi
585,Meri Surat Teri Aankhen,Nache Man Mora Magan Dhig Dha Dhigi Dhigi,bhairavi
586,Jahan Pyar Mile,Nas Nas Mein Agan,bhairavi
587,Aadi Raat Ke Baad,O Gauri Tori Banki,bhairavi
588,Ashiq,O Shama Mujhe Funk De,bhairavi
589,Shaheed,Pagadi Sambhal Jhatta,bhairavi
590,(non-film song),Phir Kisi Raha Guzar Par Shayad,bhairavi
591,Dooj Ka Chaand,Phool Gendava Na Maaro,bhairavi
592,Shri 420,Pyaar Hua Ikraar Hua,bhairavi
593,Waqt,Aage Bhi Jaane Na Tu,Pahadi
594,Raam Aur Shyam,Aaj Ki Raat Mere Dil Ki Salami Le Le,Pahadi
595,Bazi,Aaj Ki Raat Piya Dil Na Todo,Pahadi
596,Anmol Moti,Aaja Raja Leke Barat Aaja,Pahadi
597,Noori,"Aaja Re, Aaja Re O Mere Dilvar Aaja",Pahadi
598,Gumrah,Aaja Re Tujhko Mera Pyar Pukare,Pahadi
599,Navrang,Are Ja Re Hato Natakhat,Pahadi
600,Anmol Ghadi,Awaz De Kahan Hain,Pahadi
601,Dosti,Awaz Mein Na Dunga...Chahunga Main Tujhe Sanjh Savere,Pahadi
602,Aarti,Baharon Ki Manzil Rahi (a.k.a. Kabhi To Milegi),Pahadi
603,Aakhiri Khat,Baharon Mera Jivan Bhi Sanvaro,Pahadi
604,Pakeezah,Bata De Sakhi Kaun Gali Gayo Shyam  (a.k.a. Sakhi Kaun Gali Gayo Shyam ),Pahadi
605,Bhabhi ,Chal Ud Ja Re Panchi,Pahadi
606,Pakeezah,Chalo Dildar Chalo,Pahadi
607,Chaudavin Ka Chand,Chaudavin Ka Chand Ho Ya Aftab Ho,Pahadi
608,Noori,Chori Chori Koi Ae,Pahadi
609,Hum Aapke Dil Mein Rahte Hai,Chup Gaya Badli Mein,Pahadi
610,(non-film song),"Dil Mein Ek Lahar Si Uthi Hai Abhi""",Pahadi
611,Jewel Thief,Dil Pukare Are Are,Pahadi
612,Son of India,Dil Todnewale,Pahadi
613,Waqt,Din Hai Bahar Ke Tere Mere,Pahadi
614,Insaf,Do Dil Dhadak Rahe Hain Aur Avaz Ek Hai,Pahadi
615,Heer Ranjha,Do Dil Tute Do Dil Hare,Pahadi
616,Kohinoor,Do Sitaron Ka Zamin Pe Hai Milan Aaj Ki Rat,Pahadi
617,Chamka Chamka Subah Ka Tara,Gaya Andhera Hua Ujala,Pahadi
618,Dosti,Gudiya Hamse Ruthi Rahogi,Pahadi
619,Waqt,Ham Jab Simata Ke Aapki Bahonmen,Pahadi
620,Mere Sanam,Hamne To Dil Ko Aapke Kadamon Pe,Pahadi
621,Ram Teri Ganga Maili,Hushn Pahadon Ka,Pahadi
622,Kashmir Ki Kali,Isharon Isharon Mein Dil Lenewale,Pahadi
623,Shola Aur Shabnam,Jaane Kya Dhundti Rahati Hain,Pahadi
624,Dosti ,Jaanewalon Zara Mud Ke Dekho Mujhe,Pahadi
625,Anmol Ghadi,Javaan Hai Muhabbat,Pahadi
626,Door Ka Raahi,Jivan Se Na Har O Jeenewale,Pahadi
627,Taj Mahal ,Jo Vada Kiya Vo,Pahadi
628,Kabhi Kabhi,Kabhi Kabhi Mere Dil Men,Pahadi
629,Qayamat Se Qayamat Tak,Kahe Sataye Kaheko Rulaye,Pahadi
630,Sahibaan,Kaise Jiyunga Main Ho,Pahadi
631,Aap Ki Kasam,Karavate Badalte Rahe Sari Raat Ham,Pahadi
632,Waqt,Kaun Aya Ke Nigahon Mein Chamak Jag Uthi,Pahadi
633,Kohinoor ,Koi Pyara Ki Dekhe Jadugari,Pahadi
634,Aradhana,Kora Kagaz Tha Man Mera,Pahadi
635,Woh Kaun Thi?,Lag Jaa Gale,Pahadi
636,Barsaat,Mere Ankhon Mein Bas Gaya Koi Re,Pahadi
637,Nagin,Mohe Jana Hai Pike Nazariya (a.k.a. Sun Ri Sakhi Mohe Sajna),Pahadi
638,Ankhen,Mori Atariya Pe Kagan Bole,Pahadi
639,Baraat,Muft Huye Badnam Kisi Se Haay,Pahadi
640,Bachpan,Mujhe Tumse Muhabbat Hai Magar,Pahadi
641,Mahal,Mushkil Hai Bahut Mushkil,Pahadi
642,Chandramukhi,Nain Ka Chain Churakar Le Gayi,Pahadi
643,Silsila,Neela Aasman So Gayaa,Pahadi
644,Humraaz,Neele Gagan Ke Tale,Pahadi
645,Aadmi Aur Insaan,Neele Parabton Ki Dhara,Pahadi
646,Udan Khatola,O Dur Ke Musaphir Hamko Bhi Sath Le Le,Pahadi
647,&nbsp;,Paayo Ji Maine Ram Ratan Dhan Paayo,Pahadi
648,Shagun,Parbaton Ke Pedon Par Shaam Ka Basera Hai,Pahadi
649,Prem Pujari,Phulon Ke Rang Se,Pahadi
650,Daag,Preet Ye Kaisi Bol Re Duniya,Pahadi
651,Ziddi,Raat Ka Sama Jhume Chandrama,Pahadi
652,Mamta,Rahe Na Rahe Ham Mahaka Karenge,Pahadi
653,Jewel Thief,Rula Ke Gaya Sapna Mera,Pahadi
654,Aangan Ki Kali,Sainya Bina Ghar Suna,Pahadi
655,Bazaar,Sajan Ki Galiyan Chod Chale,Pahadi
656,Chitralekha,Sakhi Re Mera Man Uljhe Tan Dole,Pahadi
657,Parasmani,Salamat Raho,Pahadi
658,Apna Ghar,Sare Jahanse Achcha,Pahadi
659,Milan,"Savan Ka Mahina, Pavan Kare Sor",Pahadi
660,Jurmaana,Savan Ke Jhule Pade Tum Chale Aao,Pahadi
661,Albela,Sham Dhale Khidaki Tale,Pahadi
662,Dulari,Suhani Raat Dhal Chuki,Pahadi
663,Baradari,"Tasvir Banaata Hun, Tasvir Nahin Banati",Pahadi
664,(non-film song),Tere Bharose He Nandalala,Pahadi
665,Pyaar Ki Jeet,Tere Nainon Ne Chori Kiya,Pahadi
666,Mere Sanam,Thukade Hain Mere Dil Ke,Pahadi
667,Andaz,Tod Diya Dil Mera Tune Ai Bewafa,Pahadi
668,Ganga Jamuna,Tora Man Bada Papi Sanvariya Re,Pahadi
669,Neel Kamal,Tujhko Pukare Mera Pyar,Pahadi
670,Shagun,"Tum Apna Ranj O Gam, Apni Pareshani Mujhe De Do",Pahadi
671,Didi,Tum Mujhe Bhul Bhi Jao To Ye Haq Hai Tumko,Pahadi
672,Dadi Maa,Usko Nahin Dekha Hamne Kabhi,Pahadi
673,Guide,"Vahan Kaun Hai Tera, Musaphir Jayega Kahan",Pahadi
674,Bharosa,Vo Dil Kahan Se Laun,Pahadi
675,Miss Mary,Vrindavan Ka Krishna Kanhaiya,Pahadi
676,Aadmi Aur Insaan,Yara Dildara Mera Dil Karta,Pahadi
677,Maur Pankh,Yeh Barkha Bahar Sautaniya Ke Dwar,Pahadi
678,Prem Parbat,Ye Dil Aur Unki,Pahadi
679,Aaj Aur Kal,Ye Vadiyan Phizaen Bula Rahi Hain Tumhe,Pahadi
680,Kaun Apna Kaun Paraya,,Pahadi
681,Dadi Maa,Usko Nahin Dekha Hamne Kabhi,Pahadi
682,Guide,"Vahan Kaun Hai Tera, Musaphir Jayega Kahan",Pahadi
683,Bharosa,Vo Dil Kahan Se Laun,Pahadi
684,Miss Mary,Vrindavan Ka Krishna Kanhaiya,Pahadi
685,Aadmi Aur Insaan,Yara Dildara Mera Dil Karta,Pahadi
686,Maur Pankh,Yeh Barkha Bahar Sautaniya Ke Dwar,Pahadi
687,Prem Parbat,Ye Dil Aur Unki,Pahadi
688,Aaj Aur Kal,Ye Vadiyan Phizaen Bula Rahi Hain Tumhe,Pahadi
689,Kaun Apna Kaun Paraya,,Pahadi
690,Gaman,"Aap Ki Yaad Aati Rahi, Raat Bhar",bhairavi
691,Devar,Aaya Hai Mujhe Phir Yad,bhairavi
692,Kismat,Ab Tere Siva,bhairavi
693,Bluff Master,Ai Dil Ab Kahi Na Ja,bhairavi
694,Dulari,Ai Dil Tujhe,bhairavi
695,Rattan,"Ai Diwali, Ai Diwali",bhairavi
696,My Sister,Aie Kitab-e-Taqdeer,bhairavi
697,Daag,Ai Mere Dil Kahin Aur Chal,bhairavi
698,Meharban,"Ai Mere Dost, Ai Mere Hamdam",bhairavi
699,Main Shadi Karne Chala,Albeli Naar Pritam Dwar,bhairavi
700,April Fool,April Fool Banaaya,bhairavi
701,Awara,Awara Hun Ya Gardish Mein Hun,bhairavi
702,Street Singer,"Baabul Mora, Naihar Chhooto Hi Jaaye",bhairavi
703,Roti Kapda Aur Makaan,Baaki Kuchh Bacha To Menhagai Maar Gayi (a.k.a. Menhagai Maar Gayi),bhairavi
704,Rani Roopmati,Baat Chalat Nayi Chunari Rang Dari,bhairavi
705,Do Kaliyan,Bacche Man Ke Sacche,bhairavi
706,Dulha Dulhan,Bane To Ban Jaye Zamana Dushman,bhairavi
707,Barsaat,"Barasat Men, Hamse Mile Tum",bhairavi
708,Bobby,Beshaq Mandir Masjid Tode,bhairavi
709,Do Badan,Bhari Duniya Men Akhir Dil Ko Samajhane Kahan Jaayen,bhairavi
710,Satyam Shivam Sundaram,Bhor Bhaye Panghat Pe,bhairavi
711,Sangam,Bol Radha Bol Sangam Hoga Ke Nahin (A.K.A. Mere Man Kii Ganga,bhairavi
712,Junglee,Chahe Koi Mujhe Jangli Kahe,bhairavi
713,Ek Hi Raasta,Chali Gori Pi Se Milan Ko Chali,bhairavi
714,Chhaliya,Chaliya Mera Naam,bhairavi
715,Barsaat,Chhod Gaye Balam,bhairavi
716,Amar Prem,Chingari Koi Bhadke,bhairavi
717,Sur Sangam,Dhanya Bhag Seva Ka Avsar Paaya,bhairavi
718,Gambler,Dil Aaj Shair Hai,bhairavi
719,Dil Apna Aur Prit Paraiyi,Dil Apna Aur Prit Paraiyi,bhairavi
720,Tashan,Dil Dance Mare,bhairavi
721,Goonj Uthi Shehnai,Dil Ka Khilona Haye Tut Gaya,bhairavi
722,Son of India,Diya Na Bujhe Ri Aaj Hamara,bhairavi
723,Ganga Jamuna,Do Hanson Ka Joda Bichhad Gayo Re,bhairavi
724,Heer Ranjha,Doli Chadhte (Hi) Heer,bhairavi
725,Sangam,Dost Dost Na Raha,bhairavi
726,Teesari Kasam,Duniya Banane Wale Kya Tere Man,bhairavi
727,Ek Dil Aur Sau Afsane,Ek Dil Aur Sau Afsane,bhairavi
728,Awara,Ghar Aya Mera Pardesi,bhairavi
729,Choo Mantar,Gharib Jaan Ke Ham Ko Na Tum daga Dena,bhairavi
730,Das Lakh,Gharibon ki Suno (a.k.a. Chaahe Laakh Karo Tum Puja,bhairavi
731,Kudarat,Hame Tumse Pyar Kitana,bhairavi
732,Manzil,Hato Kaheko Juthi Banao Batiyaan (a.k.a. Banawo bathiyan hato),bhairavi
733,Jis Desh Me Ganga Baheti Hai,He Aag Hamare Sine Mein (a.k.a. Ham Bhi Hain Tum Bhi Ho),bhairavi
734,Jis Desh Me Ganga Baheti Hai,Hoton Pe Sachhayi Rahati Hai,bhairavi
735,Yaadgar,Iktaara Bole,bhairavi
736,Amar,"Insaf Ka Mandir Hai, Yeh Bhagavan Ka Ghar Hai",bhairavi
737,Bharosa,Is Bhari Duniyan Men,bhairavi
738,Maaya,"Jaa Re, Jaa Re Ud Jaa Re Panchhi",bhairavi
739,Kohinoor,Jaadugar Katil,bhairavi
740,Shah Jahan,Jab Dil Hi Tut Gaya,bhairavi
741,Tere Mere Sapne,Jaise Radha Ne Mala Japi Shyam,bhairavi
742,Beimaan,Jay Bolo Beiman Ki,bhairavi
743,Shola Aur Shabnam,Jeet Hi Lenge,bhairavi
744,Mera Naam Joker,Jina Yahan Marna Yahan,bhairavi
745,Saheli,Jis Dil Me Basa Tha Pyaar Tera,bhairavi
746,(non-film song),Jo Bhaje Hari Ko Sada,bhairavi
747,Jhanak Jhanak Paayal Baje,Jo Tum Todo Piya,bhairavi
748,Sant Gyaneshwar,Jyot Se Jyot Jagate Chalo,bhairavi
749,Ghazi Salahuddin,Kabhi Neki Bhi Uske Ji Men Gar Aa Jaye Hai Mujhse,bhairavi
750,Mera Naam Joker,Kaheta Hai Joker,bhairavi
751,Devta,Kaise Aau Jamuna Ke Tir,bhairavi
752,Sooraj,Kaise Samjhaun Bade Na Samajh Ho,bhairavi
753,Amar,Khamosh Hai Khevana Hara Mera,bhairavi
754,Mayur Pankh,Khushiyon Ke Chand,bhairavi
755,Bemisal,Kisi Baat Par Main,bhairavi
756,Aitbaar,Kisi Nazar Ko Tera Intazar Aja Bhi Hai,bhairavi
757,Patita,Kisi Ne Apna Bana Ke,bhairavi
758,Dil Hi To Hai,"Laga, Chunari Mein Daag",bhairavi
759,Jaanvar,Lal Chhadi Maidan Kadi,bhairavi
760,Bhakta Surdas,Madhukara Shyam Hamare Chor,bhairavi
761,Professor,Main Chali Main Chali,bhairavi
762,Sathi,Main To Pyaar Se Teri Piya Mang Sajaungi,bhairavi
763,Alaap,Mata Saraswati Sharda Vidya Dayi Dayani,bhairavi
764,Mehndi Lagi Mere Haath,Mehendi Lagi Mere Hath Re,bhairavi
765,Basant Bahar,Mein Piya Teri Tu Maane Ya Maane,bhairavi
766,Barsaat,"Mein Zindigi Men Hardam, Rota Hi Raha Hoon",bhairavi
767,Upkaar,"Mera Desh Ki Dharti, Sona Ugale Ugale Hire Moti",bhairavi
768,Shri 420,Mera Juta Hai Japani,bhairavi
769,Jism,Mere Khwabon Ka Har Aik Naksh,bhairavi
770,Jis Desh Me Ganga Baheti Hai,Mera Naam Raju,bhairavi
771,The Legend Of Bhagat Singh,Mera Rang De Basanti Chola,bhairavi
772,Jhanak Jhanak Payel Baje,Mere Ai Dil Bata,bhairavi
773,(non-film song),Meri Tanhaiyon Tum Hi Lagalo Mujhko Sinese,bhairavi
774,Kasme Vaade,"Mile Jo Kadi Kadi, Ek Zanjeer Bane",bhairavi
775,(non-film song),Mile Sur Tera Hamara,bhairavi
776,Kinara,Mithe Bol Bole,bhairavi
777,Jawaab,Mitwa Re Mitwa Purab Na Jaio,bhairavi
778,Mayur Pankh,Mohabbat Ki Dastan Aaj Suno,bhairavi
779,Ghunghat,Mori Chhum Chhum Baje Payeliya,bhairavi
780,"Dil Bhi Tera, Hum Bhi Tere",Mujhko Is Raat Ki Tanhai Main,bhairavi
781,Alor Pipasa,Na Bajayi Ho Shyam,bhairavi
782,Meri Surat Teri Aankhen,Nache Man Mora Magan Dhig Dha Dhigi Dhigi,bhairavi
783,Jahan Pyar Mile,Nas Nas Mein Agan,bhairavi
784,Aadi Raat Ke Baad,O Gauri Tori Banki,bhairavi
785,Ashiq,O Shama Mujhe Funk De,bhairavi
786,Shaheed,Pagadi Sambhal Jhatta,bhairavi
787,(non-film song),Phir Kisi Raha Guzar Par Shayad,bhairavi
788,Dooj Ka Chaand,Phool Gendava Na Maaro,bhairavi
789,Shri 420,Pyaar Hua Ikraar Hua,bhairavi
790,Aah,Raja Ki Ayegi Baraat,bhairavi
791,Shri 420,Ramiya Vastaavaiya,bhairavi
792,Anaadi,Sab Kuch Sikha Hamne,bhairavi
793,Chand Mere Aja,"Sajna, Sajna Kahe Bhul Gaye Din Pyar Ke",bhairavi
794,Ek Phool Do Mali,Sajna Sajna O Sajna,bhairavi
795,Anuradha,Sanvare Sanvare,bhairavi
796,Luck By Chance,Sapno Se Bhare Naina,bhairavi
797,Sahib Bibi Aur Ghulam,Saqiya Aaj Mujhe Nind Nahi Ayegi,bhairavi
798,Bhakta Surdas,Sar Pe Kaddam Ki Chainya,bhairavi
799,Dil Apna Aur Prit Paraiyi,Sheesha-e-Dil Itna Na Uchha Lo,bhairavi
800,Jism,Shikayat Hai,bhairavi
801,Johar Mehmood In Goa,Sikandar Bhi Aaye...Na Koi Raha,bhairavi
802,Baalak,Sun Le Bapu Ye Paigham,bhairavi
803,Anuraag,"Sun Ri Pavan, Pavan Puravaiya",bhairavi
804,Gulami,"Sunai Deti Hai Jiski Dhadkan (A.K.A Zihaal-e-Mastii, Makun-b-Ranjish)",bhairavi
805,Seema,Suno Chhoti Si Gudiya Ki Lambi Kahani,bhairavi
806,Barkha,"Sur Badale Kaise, Kaise Dekho Kismat Ki Shahana",bhairavi
807,Guest House,Tera Jadu Na Chalega,bhairavi
808,Anari,Tera Jana,bhairavi
809,Shabnam,Teri Nigahon Pe Mar,bhairavi
810,Baiju Bawra,Tu Ganga Ki Mauj Main Jamunaa Ka Dhaaraa,bhairavi
811,Dhool Ka Phool,Tu Hindu Banega Na Musalman Banega,bhairavi
812,Main Chup Rahungi,"Tum Hi Ho Mata, Pitaa Tumhi Ho",bhairavi
813,Sohni Mahiwal,Tumhare Sang Main Bhi Chalungi,bhairavi
814,Ayee Milan Ki Bela,Tumhen Aur Kya Dun Main Dil Ke Sivay,bhairavi
815,Andaaz ,Tute Na Dil Tute Na,bhairavi
816,Waqt,Waqt Se Din Aur Raat,bhairavi
817,Saanj Aur Savera,Yahi Hai Woh Saanj Aur Savera (A.K.A. Jiske Liye Tadape Ham),bhairavi
818,(non-film song),Ye Dil Yeh Paagal Dil Mera Kyon Bujh Gaya Awaaragi,bhairavi
819,Shair,"Ye Duniya Hai, Yanha Dil Ka",bhairavi
820,Hariyali Aur Raasta,Ye Hariyali Aur Ye Raasta,bhairavi
821,Mela,Yeh Zindagi Ke Mele,bhairavi
